impl,size,distribution,seed,threads,block_size,repeats,avg_ms
cuda,1000000,uniform,42,1,128,5,100.4448
cuda,1000000,uniform,42,1,256,5,58.1116
cuda,1000000,uniform,42,1,512,5,48.9479
cuda,4000000,uniform,42,1,128,5,79.8614
cuda,4000000,uniform,42,1,256,5,72.1186
cuda,4000000,uniform,42,1,512,5,70.1584
cuda,16000000,uniform,42,1,128,5,250.0248
cuda,16000000,uniform,42,1,256,5,245.7942
cuda,16000000,uniform,42,1,512,5,257.6529
cuda,64000000,uniform,42,1,128,5,971.8597
cuda,64000000,uniform,42,1,256,5,963.5993
cuda,64000000,uniform,42,1,512,5,971.3902
cuda,1000000,gaussian,42,1,128,5,36.8761
cuda,1000000,gaussian,42,1,256,5,38.1090
cuda,1000000,gaussian,42,1,512,5,36.9817
cuda,4000000,gaussian,42,1,128,5,76.4626
cuda,4000000,gaussian,42,1,256,5,76.7162
cuda,4000000,gaussian,42,1,512,5,74.9045
cuda,16000000,gaussian,42,1,128,5,252.3453
cuda,16000000,gaussian,42,1,256,5,248.0515
cuda,16000000,gaussian,42,1,512,5,246.8394
cuda,64000000,gaussian,42,1,128,5,952.3981
cuda,64000000,gaussian,42,1,256,5,941.4777
cuda,64000000,gaussian,42,1,512,5,932.1546
cuda,1000000,nearly_sorted,42,1,128,5,37.1201
cuda,1000000,nearly_sorted,42,1,256,5,38.0349
cuda,1000000,nearly_sorted,42,1,512,5,36.5371
cuda,4000000,nearly_sorted,42,1,128,5,70.4572
cuda,4000000,nearly_sorted,42,1,256,5,70.0362
cuda,4000000,nearly_sorted,42,1,512,5,75.9362
cuda,16000000,nearly_sorted,42,1,128,5,250.9229
cuda,16000000,nearly_sorted,42,1,256,5,226.0567
cuda,16000000,nearly_sorted,42,1,512,5,224.0216
cuda,64000000,nearly_sorted,42,1,128,5,912.4057
cuda,64000000,nearly_sorted,42,1,256,5,912.0862
cuda,64000000,nearly_sorted,42,1,512,5,924.3871
cuda,1000000,reversed,42,1,128,5,46.6295
cuda,1000000,reversed,42,1,256,5,43.6032
cuda,1000000,reversed,42,1,512,5,37.3813
cuda,4000000,reversed,42,1,128,5,70.6217
cuda,4000000,reversed,42,1,256,5,69.1412
cuda,4000000,reversed,42,1,512,5,69.0163
cuda,16000000,reversed,42,1,128,5,220.1858
cuda,16000000,reversed,42,1,256,5,220.3502
cuda,16000000,reversed,42,1,512,5,216.9390
cuda,64000000,reversed,42,1,128,5,898.9618
cuda,64000000,reversed,42,1,256,5,866.1705
cuda,64000000,reversed,42,1,512,5,885.4061
